session_type,driver_number,transcription,player_ts,duration_ms,inserted_at
race,20,"Actually, Russell's still running, but he had a problem. So he boxed. That's why he's safe on the back.",2023-08-27 15:29:45,9013,2023-08-27 15:29:52
race,11,"Okay, into the pitlane and you can leave it in P1.",2023-08-27 15:29:43,6197,2023-08-27 15:29:49
race,22,"Stop FIA bridge. V1, message V0.",2023-08-27 15:29:45,5984,2023-08-27 15:29:48
race,10,"Ah, very good pulls. Everything, everything was great, so. Really stopped, really, really good car, so. Very good progress at the start of the field. Good to be back after the second braking. It feels good to be back after the second braking. Brilliant, so. We get this podium, so. We get it. Very happy for all of you guys. Thank you, mate. Thank you, mate. And that's even with a five second penalty, so. Awesome job.",2023-08-27 15:29:05,34101,2023-08-27 15:29:42
race,20,"Just to give you the running order, Verstappen won the race. Alonso second, Gasly third, Perez fourth. He had a penalty of speeding in the pitlane. Sainz fifth, Hamilton sixth, Norris seventh, Albon eighth, Piastri ninth and Ocon tenth. Stroll eleventh, Nico twelfth, Lawson ahead of you and then yourself, Bottas right behind. And five, Sonoda, Edelweiss, Russell, Joe, Leclerc and Sargeant all retired.",2023-08-27 15:29:11,33333,2023-08-27 15:29:41
race,23,"Alex, you've been awesome all weekend. Qualifying yesterday and race today. And I think if we'd spoken on Thursday and said it was going to be a P8, we'd be pretty happy. Thank you so much, Alex. I can't wait to see you at the next Megatrop today.",2023-08-27 15:29:25,17909,2023-08-27 15:29:38
race,11,"Exit to the pitlane, please.",2023-08-27 15:29:23,4853,2023-08-27 15:29:26
race,11,"It was chaos up and down the pitlane, but good drive today. From where you were on the grid, that was very, very strong. Yeah, some really good cores out there.",2023-08-27 15:29:10,13536,2023-08-27 15:29:24
race,40,"And we've got Sainz P5, Hamilton P6, Norris P7, Albon P8, Piastri P9 and Ocon holding the top 10.",2023-08-27 15:29:06,11488,2023-08-27 15:29:20
race,27,"Yeah, copy that, man. It's a good job today by you. Some really good overtakes in the dry, too, and then, uh, yep. You did what we could, so P12. Verstappen 1. Yeah, give me the top ten run now. Yep. P1 Verstappen, 2 Alonso, 3 Gasly, 4 Perez, 5 Sainz, 6 Hamilton, 7 Norris, 8 Albon, 9 Piastri, 10 Ocon, Strolls 11, you're 12, and then Kevin's P14.",2023-08-27 15:28:45,38560,2023-08-27 15:29:17
race,23,"Thank you. Well done everyone. Get an Alex Blue 3 position 1 when you can, please. Blue 3 position 1.",2023-08-27 15:29:10,10144,2023-08-27 15:29:16
race,18,"So, Lance, are we going to have HPP button off?",2023-08-27 15:29:08,5962,2023-08-27 15:29:12
race,23,"Yeah, copy that. You know we'll review it, but in the meantime, I told you we're going to come here and finish 8th, you would have bitten my arm off.",2023-08-27 15:29:01,10314,2023-08-27 15:29:11
race,11,"Yeah, just picked up the rain too late.",2023-08-27 15:29:05,6218,2023-08-27 15:29:09
race,40,"So Max won the race, then Alonso is P2, Gasly P3, because Perez had a penalty for spinning in the pitlane, so Perez is in P4.",2023-08-27 15:28:54,12832,2023-08-27 15:29:07
race,11,"Sorry the tyres weren't ready on the second one, which was a late call. It was very, very late into the pitlane.",2023-08-27 15:28:55,9184,2023-08-27 15:29:05
race,20,"That's okay apparently. Apparently it's the tow that you don't like, so that's fine.",2023-08-27 15:28:59,7818,2023-08-27 15:29:05
race,22,"Recharge your batteries, please.",2023-08-27 15:29:01,4704,2023-08-27 15:29:03
race,23,"Yeah, thanks James. I think, in a weird way, that some of the quicker cars behind us, I felt, took a bit more risk with the pitting early thing. Because they could.",2023-08-27 15:28:46,16864,2023-08-27 15:29:01
race,20,Do I have to be in it? Or can I be slow?,2023-08-27 15:28:51,7946,2023-08-27 15:28:57
race,40,"OK, glad you enjoyed it. Still a lot of work ahead. When we get ready, we get ready again.",2023-08-27 15:28:47,9013,2023-08-27 15:28:55
race,11,"Yeah, fuck, we deserved it today. Ah, what a shame.",2023-08-27 15:28:42,8180,2023-08-27 15:28:52
race,40,"Yep. Considering the amount of time that we lost at the start. Yeah, good job. I enjoyed that.",2023-08-27 15:28:37,11978,2023-08-27 15:28:48
race,23,"Yeah, Alex, well done. You drove admirably today and we didn't get it all right, as you said, on incisions, that's on our shoulders as well, but you caught back up and in a dry race you would have finished 6th on merit. Either way, well done. This is some difficult conditions across this weekend and you brought home some really good points.",2023-08-27 15:28:27,20384,2023-08-27 15:28:46
race,14,"Ah, I'm so happy, mate. I thought we could have a go in lap 1, but yeah, we didn't have any chance. Yeah, I was ready to try. Yeah. Well done. Well done, mate. HPB button off, please. HPB button off.",2023-08-27 15:28:26,22560,2023-08-27 15:28:45
race,63,"Yeah, big miss opportunity today. Can't turn very quick, but we can.",2023-08-27 15:28:38,7626,2023-08-27 15:28:45
race,55,"Mode slow, please. Mode slow. And Max won the race. Then Fernando, then Gasly, Checo, P4, Hamilton P6, Lando P7, Albon P8, Piastri P9, Ocon P10. Copy. Yeah, I think we did the maximum today, guys. There was not a lot more in this. Yeah.",2023-08-27 15:28:08,30304,2023-08-27 15:28:42
race,11,Great call on that first lap.,2023-08-27 15:28:37,5237,2023-08-27 15:28:41
race,27,"There's not much possible there. I mean, I could go the speed of these guys, but not overtake.",2023-08-27 15:28:36,9866,2023-08-27 15:28:40
race,63,"OK, so yeah, really not the race that we deserve today. That's P17, but there are plenty of positives to come out of this weekend, I think.",2023-08-27 15:28:25,13728,2023-08-27 15:28:39
race,11,"That's him. It was a good drive today.",2023-08-27 15:28:32,6794,2023-08-27 15:28:37
race,20,Mode in. Please get mode in.,2023-08-27 15:28:34,5642,2023-08-27 15:28:37
race,18,HPP button off. HPP button off.,2023-08-27 15:28:30,6538,2023-08-27 15:28:37
race,40,"OK, Liam. So, Yuki got a penalty and that's P13* for you today. P13*. Good effort. Good effort. I think you should be pleased.",2023-08-27 15:28:20,13216,2023-08-27 15:28:37
race,31,"As he finished P10, the front Perez got a penalty for speeding in the pitlane before everything restarted again. So that puts Pierre third, so he got a podium, which is good for the team.",2023-08-27 15:28:20,18997,2023-08-27 15:28:36
race,81,"Yeah. Yeah. I think a few missed opportunities. Yeah, sorry for the lock-up. But, yeah, nice to recover back to the points. And, yeah, back at it again next week. So, let's have some fun. Yeah, good job. Good job today. Drove really well.",2023-08-27 15:28:14,29877,2023-08-27 15:28:36
race,10,"That's really one for the team this one, yeah? Awesome job, awesome job. Thank you.",2023-08-27 15:28:24,9418,2023-08-27 15:28:36
race,22,"Why am I in P16? You've got five seconds for contact with Russell.",2023-08-27 15:28:18,13237,2023-08-27 15:28:36
race,22,"Yeah, of course they got a gaping. Yeah, of course.",2023-08-27 15:28:30,5920,2023-08-27 15:28:36
race,20,"Yeah, go for that part.",2023-08-27 15:28:29,5088,2023-08-27 15:28:35
race,44,"Yeah, yeah, right on there. Lewis, yeah, not the way we wanted, but yeah, we'll keep battling on.",2023-08-27 15:28:29,7114,2023-08-27 15:28:35
race,11,"Hard like Checo. Unfortunately, the speeding was on the way into the pitlane for the red flag.",2023-08-27 15:28:18,10912,2023-08-27 15:28:29
race,20,"Excellent calls on the tyres earlier in the race, Kev. You know, did a really great job when you could. Just dry-paced. The car is not where it needs to be.",2023-08-27 15:28:14,15285,2023-08-27 15:28:26
race,44,"Thanks, well done. Solid job done with the pitstops. Thanks for the hard work. Let's keep up the fight. It's not the day we wanted.",2023-08-27 15:28:10,16010,2023-08-27 15:28:25
race,23,"Yes, well done everyone. That was a tough race. I think I could have done a bit better on that second quarter pit there, but I mean, we've got really strong pace. We should be very proud of that. We were P6 on pure pace there. That was amazing. In a way a bit disappointed, but well done everyone.",2023-08-27 15:27:53,33802,2023-08-27 15:28:24
race,10,"Oh, nice job. Very nice job.",2023-08-27 15:28:15,8394,2023-08-27 15:28:23
race,11,Did that still count?,2023-08-27 15:28:14,5130,2023-08-27 15:28:21
race,10,"Woo-hoo-hoo! Amazing, man. Amazing. What a race! What a race! Super, man. Oi-oi-oi! Super, man! It's an I02L, please. It's an I02L when you can, please. Fuck yes! That's what I like, baby! That's what I like. Really good race. Really good race. You guys can be proud. Very well executed. Top conditions.",2023-08-27 15:27:44,33034,2023-08-27 15:28:19
race,40,Fail 8.4.,2023-08-27 15:28:10,7968,2023-08-27 15:28:16
race,4,"Minor, white, H11, position 13. White, H11, position 13.",2023-08-27 15:28:10,9888,2023-08-27 15:28:15
race,18,"OK, Lance, out three.",2023-08-27 15:28:09,5088,2023-08-27 15:28:13
race,11,"Why, why we had the drive-through? Got the five seconds for speeding into the pitlane. We believe that was just before the red flag coming in that time when we locked up.",2023-08-27 15:27:58,14965,2023-08-27 15:28:13
race,20,"Okay, Tsunoda had a penalty, so you are P14.",2023-08-27 15:28:04,8095,2023-08-27 15:28:12
race,22,"And, yeah, zero grip.",2023-08-27 15:28:09,5408,2023-08-27 15:28:11
race,40,"OK, Liam. Charged on. Charged on. Fail 84.",2023-08-27 15:28:03,8885,2023-08-27 15:28:11
race,1,"Yeah, well done. Also two cars on the podium and nine in a row is pretty crazy.",2023-08-27 15:28:02,10293,2023-08-27 15:28:10
race,14,"No, you can go to cool, I think it's cool. Or out three actually, out three.",2023-08-27 15:28:06,7840,2023-08-27 15:28:09
race,55,And box low. It was very difficult out there. Good job. Yeah. These tyres were horrible. Yeah. No grip.,2023-08-27 15:27:51,16351,2023-08-27 15:28:08
race,44,"Well done, Lewis. That was a hectic one. So, yeah, P6, final position. Really great drive and, yeah, as I say, hectic day.",2023-08-27 15:27:53,13962,2023-08-27 15:28:08
race,4,"Okay mate, that was a chicken flag. That's P7. I don't think we got Hamilton in the last round.",2023-08-27 15:27:59,10741,2023-08-27 15:28:05
race,22,Charge on. Fail 84.5.,2023-08-27 15:28:01,6005,2023-08-27 15:28:04
race,31,"Okay, so normal in-lap procedures from this point, please. And get some drinks on board as well.",2023-08-27 15:27:53,9866,2023-08-27 15:28:02
race,1,"Yes! Wow. Didn't make it easy for us today, the weather, but again, unbelievable, guys. Can't wait to come back after the break as well. Well done, Max. That match is the best run ever of Sebastian, so nine wins in a row. It's amazing. So, yeah, taking every moment of this in-lap, I'm sure they're going to serenade you all the way around.",2023-08-27 15:27:35,28448,2023-08-27 15:28:01
race,20,"Okay, that's the checkered flag here.",2023-08-27 15:27:56,5834,2023-08-27 15:28:00
race,81,"Recharge on. Recharge on. Finished P9, Oscar.",2023-08-27 15:27:58,7648,2023-08-27 15:27:57
race,27,"Checkered flag, Nico. Checkered flag. Mode slow.",2023-08-27 15:27:54,7584,2023-08-27 15:27:56
race,11,B-Charge off.,2023-08-27 15:27:50,4725,2023-08-27 15:27:54
race,18,"Alonso's checkered flag. Checkered flag. Sir, P11. P11.",2023-08-27 15:27:45,8480,2023-08-27 15:27:51
race,14,"That's it, mate. P2. Well done. I think that's my favourite one. I've passed his lap as well. Yeah, I take this one. Not the best one yet, but we will win one race soon. We are getting closer. Well done, guys. Very good car to drive. I enjoy it.",2023-08-27 15:27:32,23520,2023-08-27 15:27:51
race,81,"So that's the chequered flag. Very smoky, don't care.",2023-08-27 15:27:50,6581,2023-08-27 15:27:49
race,31,"OK, and that is the chequered flag.",2023-08-27 15:27:45,5642,2023-08-27 15:27:49
race,10,"Let's go! Let's fucking go!",2023-08-27 15:27:37,8352,2023-08-27 15:27:48
race,11,"P4, drop behind Gasly, further ahead of Sainz.",2023-08-27 15:27:42,7136,2023-08-27 15:27:48
race,23,"Yeah, that's a chequered flag, chequered flag. It's a P8.",2023-08-27 15:27:43,7306,2023-08-27 15:27:47
race,11,"Bit of a mad afternoon. V-Charge on, V-Charge on. Fail 84. Fail. Fail 84. Fail.",2023-08-27 15:27:34,9290,2023-08-27 15:27:44
race,55,Well done. P5.,2023-08-27 15:27:39,5877,2023-08-27 15:27:44
race,10,"Gap 2.1. Speed three, baby. Speed three.",2023-08-27 15:27:31,8095,2023-08-27 15:27:40
race,11,"Okay, I still need to check the flag.",2023-08-27 15:27:27,5450,2023-08-27 15:27:32
race,1,"Good start, F8. Fantastic job.",2023-08-27 15:27:28,6496,2023-08-27 15:27:31
race,10,Gap 2.3. This is the last lap.,2023-08-27 15:27:04,6538,2023-08-27 15:27:09
race,14,Perez 1.3 seconds back.,2023-08-27 15:27:04,5322,2023-08-27 15:27:07
race,1,3.5.,2023-08-27 15:27:00,4874,2023-08-27 15:27:03
race,4,Perez and Holla be out of time for me.,2023-08-27 15:26:32,6048,2023-08-27 15:26:34
race,20,About to start the last time lap.,2023-08-27 15:26:28,5642,2023-08-27 15:26:30
race,27,"B-C1, starting last lap.",2023-08-27 15:26:27,6688,2023-08-27 15:26:27
race,81,"Last lap, last lap.",2023-08-27 15:26:27,4981,2023-08-27 15:26:25
race,31,"Last lap, car behind 1.9.",2023-08-27 15:26:21,5728,2023-08-27 15:26:25
race,18,"This will be the last lap, starting last lap.",2023-08-27 15:26:22,6112,2023-08-27 15:26:24
race,23,Starting final lap.,2023-08-27 15:26:21,5322,2023-08-27 15:26:23
race,4,Last lap. Last lap.,2023-08-27 15:26:18,5600,2023-08-27 15:26:23
race,55,"And last lap, Hamilton 0.5 behind.",2023-08-27 15:26:13,6197,2023-08-27 15:26:18
race,14,"It's the last lap. Last lap. Perez 0.8.",2023-08-27 15:26:11,5877,2023-08-27 15:26:16
race,10,One lap to go. Gap 2.3.,2023-08-27 15:26:10,6432,2023-08-27 15:26:16
race,11,"OK, last lap. Gap to Gasly 2.2.",2023-08-27 15:26:07,6005,2023-08-27 15:26:14
race,63,Tyres are just coming to the window.,2023-08-27 15:26:04,5194,2023-08-27 15:26:11
race,1,"OK, this is your final lap, Max. Gap is 3.6.",2023-08-27 15:26:05,6474,2023-08-27 15:26:10
race,40,Consider off-roading deep entry. Magnussen directly behind. One more lap.,2023-08-27 15:26:00,7669,2023-08-27 15:26:09
race,27,"E-B3, E-B3.",2023-08-27 15:25:59,5962,2023-08-27 15:25:59
race,81,Brake balance plus one.,2023-08-27 15:25:59,4853,2023-08-27 15:25:56
race,63,You are the second fastest car on track.,2023-08-27 15:25:51,5002,2023-08-27 15:25:55
race,14,Perez is point nine. Point nine.,2023-08-27 15:25:45,6282,2023-08-27 15:25:54
race,44,"So, one more lap when you cross the line.",2023-08-27 15:25:49,5066,2023-08-27 15:25:52
race,55,Shock 2. Shock 2.,2023-08-27 15:25:45,5578,2023-08-27 15:25:51
race,10,"Turn 3, mid-corner. Turn 3, mid-corner, main times again compared to Perez.",2023-08-27 15:25:42,8608,2023-08-27 15:25:50
race,63,"So Verstappen's just done a 20.9.",2023-08-27 15:25:34,6773,2023-08-27 15:25:39
race,63,"What's the lap time of the leader?",2023-08-27 15:25:27,5493,2023-08-27 15:25:32
race,44,"How many laps left? That'll be one when you cross the line. Norris 0.9 behind, 0.4 ahead.",2023-08-27 15:25:18,9248,2023-08-27 15:25:27
race,40,Two more laps. Tyres in the working range.,2023-08-27 15:25:05,5642,2023-08-27 15:25:11
race,22,Shape 4 to lap after this.,2023-08-27 15:25:03,5834,2023-08-27 15:25:04
race,27,Diff 21. Two laps to go.,2023-08-27 15:25:04,6730,2023-08-27 15:25:04
race,1,The gap is 2.9.,2023-08-27 15:24:56,5472,2023-08-27 15:25:04
race,4,Two laps more. Two more laps. Suggestion red A4.,2023-08-27 15:24:56,7605,2023-08-27 15:25:03
race,31,Two laps to go.,2023-08-27 15:24:59,5280,2023-08-27 15:25:03
race,55,"Two laps to go, two laps to go.",2023-08-27 15:24:53,5557,2023-08-27 15:24:58
race,14,"So, two more laps, two more laps. Gap for Perez 0.8. There's a two and a half second gap behind him.",2023-08-27 15:24:48,8501,2023-08-27 15:24:54
race,1,"Two more laps, Max.",2023-08-27 15:24:47,4810,2023-08-27 15:24:51
race,10,Sock 2. Sock 2. Two laps to go.,2023-08-27 15:24:45,6410,2023-08-27 15:24:49
race,11,Gasly at 2.2. Two laps to go.,2023-08-27 15:24:43,6325,2023-08-27 15:24:49
race,20,Two more laps after this one.,2023-08-27 15:24:38,5642,2023-08-27 15:24:39
race,10,Time to gain at the moment. Perez is turn 7. He was a bit quicker than us in sector 1.,2023-08-27 15:24:20,9354,2023-08-27 15:24:33
race,14,"Perez is 0.8 behind. There's a three second gap behind Perez.",2023-08-27 15:24:22,7328,2023-08-27 15:24:28
race,40,"If understeer is a limitation, you can go back on engine braking. Back to EB10 if understeer limiting.",2023-08-27 15:24:03,8842,2023-08-27 15:24:13
race,22,"Yuki tyres are coming up. It's going to be better. Work with this.",2023-08-27 15:24:05,7008,2023-08-27 15:24:10
race,20,"Track clear, turn 11 and 12.",2023-08-27 15:24:06,5301,2023-08-27 15:24:10
race,27,"B-C4, B-C4. Track is clear at 11.",2023-08-27 15:24:05,7477,2023-08-27 15:24:04
race,1,1.7 and three laps.,2023-08-27 15:23:23,6133,2023-08-27 15:23:58
race,10,"Last lap, 4.10, Stöcken and Perez.",2023-08-27 15:23:51,6197,2023-08-27 15:23:56
race,14,"Yeah, confirm. Perez has a five second penalty.",2023-08-27 15:23:50,5877,2023-08-27 15:23:54
race,22,Engine braking 11 for rotation.,2023-08-27 15:23:45,5344,2023-08-27 15:23:47
race,40,"Three more laps. Magnussen, down to the behind.",2023-08-27 15:23:40,6346,2023-08-27 15:23:45
race,22,"Wow, I don't have any grip!",2023-08-27 15:23:41,5301,2023-08-27 15:23:43
race,14,Forbidden pass in the first second.,2023-08-27 15:23:40,5429,2023-08-27 15:23:40
race,18,"Three to go, three to go.",2023-08-27 15:23:36,5365,2023-08-27 15:23:40
race,81,Three laps to go. Three laps.,2023-08-27 15:23:40,5152,2023-08-27 15:23:39
race,31,Brake pressure 0.3. Gap behind 1.3.,2023-08-27 15:23:34,8352,2023-08-27 15:23:39
race,23,Three laps remaining.,2023-08-27 15:23:35,5194,2023-08-27 15:23:37
race,14,"Three more laps. Verstappen 1.9, Perez 1.3.",2023-08-27 15:23:26,7498,2023-08-27 15:23:31
race,10,Three laps to go.,2023-08-27 15:23:25,4810,2023-08-27 15:23:30
race,11,Three laps to go. Gap to Gasly 2.2.,2023-08-27 15:23:24,5962,2023-08-27 15:23:29
race,22,Entry 8 for rotation.,2023-08-27 15:23:17,4917,2023-08-27 15:23:20
race,10,Tyres getting into the window now.,2023-08-27 15:23:11,5173,2023-08-27 15:23:16
race,23,Mode 9 when you can for performance.,2023-08-27 15:23:10,5792,2023-08-27 15:23:12
race,10,Exit 3 for turn 13. Exit 3. Exit 3. Still keeping the gap. 2.5.,2023-08-27 15:22:56,11872,2023-08-27 15:23:08
race,31,"There's an investigation involving Norris, who's three cars up the road.",2023-08-27 15:22:39,7498,2023-08-27 15:22:45
race,20,"Four laps remaining, including this one.",2023-08-27 15:22:42,6048,2023-08-27 15:22:43
race,10,"Perez, last lap, 23.2.",2023-08-27 15:22:31,5962,2023-08-27 15:22:38
race,18,Tyres are in the window.,2023-08-27 15:22:26,4896,2023-08-27 15:22:27
race,20,BC3 when possible.,2023-08-27 15:22:17,4917,2023-08-27 15:22:20
race,40,"It's warm in Poland. It's warm out.",2023-08-27 15:22:15,5728,2023-08-27 15:22:20
race,27,Diff 31. Four laps to go. Currently P12.,2023-08-27 15:22:17,7605,2023-08-27 15:22:20
race,11,Gap to Gasly 2.6. Four laps.,2023-08-27 15:22:13,5834,2023-08-27 15:22:19
race,81,"There's one metre standing water near the entry kerb of turn 1.",2023-08-27 15:22:17,7456,2023-08-27 15:22:19
race,31,Four laps to go. Stroll 1.2 behind.,2023-08-27 15:22:13,6602,2023-08-27 15:22:19
race,55,"Hamilton 0.5 behind, 0.5 and four laps to go. Last radio. Copy.",2023-08-27 15:22:03,9205,2023-08-27 15:22:13
race,44,"So, four laps remaining. I'll leave you to it.",2023-08-27 15:22:08,5706,2023-08-27 15:22:12
race,4,Four laps more. Four laps more.,2023-08-27 15:22:11,5898,2023-08-27 15:22:10
race,11,"Okay, tyre temps are coming in.",2023-08-27 15:22:00,5066,2023-08-27 15:22:07
race,14,"So four laps to go, four laps. Verstappen 1.3, Perez 1.4.",2023-08-27 15:22:03,8373,2023-08-27 15:22:06
race,10,Still pulling away from the car behind. Focus is ahead.,2023-08-27 15:22:00,6581,2023-08-27 15:22:06
race,1,Gap 1.2.,2023-08-27 15:22:00,5301,2023-08-27 15:22:04
race,18,Pitch 5.,2023-08-27 15:21:56,4917,2023-08-27 15:21:58
race,40,Proceed for a small debris turn in level 12. Good job. Keep pushing.,2023-08-27 15:21:49,6496,2023-08-27 15:21:54
race,20,Stay right through 11 is the suggestion.,2023-08-27 15:21:51,6218,2023-08-27 15:21:53
race,18,"Inside, inside of 11. Inside of 11.",2023-08-27 15:21:48,7242,2023-08-27 15:21:53
race,27,"Possible gravel 11-12. You're currently P12. Stay right through 11 to avoid gravel.",2023-08-27 15:21:50,9909,2023-08-27 15:21:52
race,18,Possible debris at 11.12.,2023-08-27 15:21:44,5557,2023-08-27 15:21:49
race,14,"It's a possible debris turn 11 and 12 ahead. Possible debris 11 and 12.",2023-08-27 15:21:36,8010,2023-08-27 15:21:48
race,23,Subtle gravel on track to 11.12.,2023-08-27 15:21:45,5941,2023-08-27 15:21:48
race,81,Possible debris 11 and 12. Traction? Slippery.,2023-08-27 15:21:50,6581,2023-08-27 15:21:48
race,55,Try to use earlier K1 out of the corners if you need. Hamilton 0.5 behind.,2023-08-27 15:21:36,10997,2023-08-27 15:21:46
race,10,Time to gain. Turn 1 and 2 compared to Perez. 3.1 second the gap.,2023-08-27 15:21:36,8821,2023-08-27 15:21:44
race,1,Maybe some debris at 11.12. No eyes.,2023-08-27 15:21:36,6688,2023-08-27 15:21:42
race,11,"Might be some debbie on track, turn 11-12.",2023-08-27 15:21:35,5600,2023-08-27 15:21:40
race,63,"So, reset diff mid.",2023-08-27 15:21:23,5450,2023-08-27 15:21:31
race,20,Possible gravel turn 11 and 12.,2023-08-27 15:21:25,6880,2023-08-27 15:21:28
race,22,"Ulti P7*, position 7.",2023-08-27 15:21:17,5386,2023-08-27 15:21:20
race,1,Mode 4 is fine.,2023-08-27 15:21:14,5045,2023-08-27 15:21:17
race,44,This thing is quite aggressive. Okay.,2023-08-27 15:21:09,7477,2023-08-27 15:21:15
race,1,"I didn't catch that. Am I in a correct mode?",2023-08-27 15:21:06,7434,2023-08-27 15:21:14
race,63,"So, we're ready for you.",2023-08-27 15:21:07,4917,2023-08-27 15:21:10
race,63,"How did I? How did I? OK, we'll take a look. Service the car and go again.",2023-08-27 15:20:59,8608,2023-08-27 15:21:07
race,1,I have no grip.,2023-08-27 15:21:02,5152,2023-08-27 15:21:07
race,63,Any other damage?,2023-08-27 15:20:55,5237,2023-08-27 15:20:59
race,63,"So, box, box. Change tyres. Go again.",2023-08-27 15:20:48,7712,2023-08-27 15:20:56
race,31,"OK, five laps to go. Stroll the car behind.",2023-08-27 15:20:48,7669,2023-08-27 15:20:53
race,23,Five laps remaining. P8.,2023-08-27 15:20:48,5557,2023-08-27 15:20:51
race,18,P11.5 to go. Ocon ahead P10.,2023-08-27 15:20:47,6837,2023-08-27 15:20:51
race,55,Hamilton point 6 behind. And Perez has a 5 second penalty. Perez has a 5 second penalty.,2023-08-27 15:20:40,10848,2023-08-27 15:20:49
race,10,"Five laps to go. Five laps to go. You're pulling away from the cars behind.",2023-08-27 15:20:37,7136,2023-08-27 15:20:48
race,63,"Punch up. Okay, diff mid 12. You got that, I see.",2023-08-27 15:20:43,6794,2023-08-27 15:20:47
race,14,"Okay, five laps to go, five laps. Verstappen 1.1 ahead, Perez 1.6 behind. Perez has got a five-second penalty.",2023-08-27 15:20:39,9824,2023-08-27 15:20:47
race,11,"OK, we have a five second penalty for speeding in the pitlane. Gap to Gasly 2.1.",2023-08-27 15:20:36,7904,2023-08-27 15:20:46
race,1,Gap 0.9. It was 0.4 last lap at this point.,2023-08-27 15:20:37,6965,2023-08-27 15:20:44
race,63,"Cut out. Copy, so Ocon coming through, Stroll coming through. Feedback on the car?",2023-08-27 15:20:34,9738,2023-08-27 15:20:43
race,10,"Okay, so Perez has a five second penalty. Gap is 2.2.",2023-08-27 15:20:24,7818,2023-08-27 15:20:36
race,10,So mid 3 is available. Press on the investigation for speeding in the pitlane. So you want to stay within 5 seconds if you can.,2023-08-27 15:20:10,10677,2023-08-27 15:20:22
race,55,"Hamilton, point 3 behind.",2023-08-27 15:20:14,5344,2023-08-27 15:20:19
race,1,Exit turn 12. Max it will be mode 5. Gap 0.6.,2023-08-27 15:20:10,7648,2023-08-27 15:20:17
race,11,Mode 4.,2023-08-27 15:20:09,5472,2023-08-27 15:20:14
race,1,1.4,2023-08-27 15:19:42,4704,2023-08-27 15:19:45
race,63,"Gap 0.4 to Norris, he's on the right.",2023-08-27 15:19:18,5408,2023-08-27 15:19:26
race,10,Gap overtake available if you need it. Signs 0.9 behind.,2023-08-27 15:19:10,6624,2023-08-27 15:19:19
race,18,"Tyres are low. Verstappen in 13th. He's starting to go now.",2023-08-27 15:19:01,8245,2023-08-27 15:19:06
race,40,Racing comes alive.,2023-08-27 15:19:00,4938,2023-08-27 15:19:05
